SK_Produto,Produto,NomeProduto,Origem,Unidade
1,DIESEL S10,Diesel S10,Fossil,R$ / litro
2,ETANOL,Etanol,Renovavel,R$ / litro
3,GASOLINA,Gasolina,Fossil,R$ / litro
