SK_Municipio,Regiao,UF,Municipio,NomeRegiao,UF_Municipio
410,SE,SP,TABOAO DA SERRA,Sudeste,TABOAO DA SERRA / SP
411,SE,SP,TATUI,Sudeste,TATUI / SP
412,SE,SP,TAUBATE,Sudeste,TAUBATE / SP
413,SE,SP,TUPA,Sudeste,TUPA / SP
414,SE,SP,UBATUBA,Sudeste,UBATUBA / SP
415,SE,SP,VALINHOS,Sudeste,VALINHOS / SP
416,SE,SP,VARZEA PAULISTA,Sudeste,VARZEA PAULISTA / SP
417,SE,SP,VINHEDO,Sudeste,VINHEDO / SP
418,SE,SP,VOTORANTIM,Sudeste,VOTORANTIM / SP
419,SE,SP,VOTUPORANGA,Sudeste,VOTUPORANGA / SP
