SK_Revenda,ID_Revenda,NomeRevenda
91,023e1a978d13,AUTO POSTO M&B DE PIRASSUNUNGA LTDA
92,023f5fd05db1,AUTO POSTO CAVIUNAS LTDA
93,02418bf26c5a,AUTO POSTO PARQUE DAS ESMERALDAS LTDA.
94,02422720151a,CENTRO AUTOMOTIVO TRIESTE LTDA
95,024567fbe95e,AUTO POSTO G T EIRELI
96,024cfc04fb30,GNVIA RIO POSTO DE SERVIÇOS LTDA.
97,024d3c4dd44f,FELICIDADE EMPREENDIMENTOS COMERCIAIS LTDA
98,025c97cf9ace,BORTOLETO BERTOLETTO & CIA LTDA
99,025d82e23d5c,DISTRIBUIDORA CANAA DE COMBUSTIVEIS LTDA
100,025e1cd4d9d0,MASTER POSTO COMERCIO DE COMBUSTIVEIS LTDA
101,026d6840f1fa,AUTO POSTO PANORAMICO DE CASCAVEL LTDA
102,028f4c71c0b2,POSTO Z5 LTDA
103,02918ec0ba3a,POSTO LAGOINHA DE RIBEIRAO PRETO LTDA
104,029624fdbb1f,AUTO POSTO VIRGINIA FERNI LTDA
105,029e5a3a3293,AUTO POSTO PORTAL DO GONZAGA LTDA.
106,02b886712e5d,R C REBOUCAS EIRELI
107,02be9036a369,POSTO DE COMBUSTIVEIS VILA COMETA LTDA
108,02c0286764ec,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA
109,02d3ce43f3e1,AUTO POSTO AVIACAO COMERCIO DE COMBUSTIVEIS LTDA
110,02dc60aeeba6,COMERCIAL DE COMBUSTIVEIS SAO BENTO EIRELI
111,02dcf80203c0,MAXI POSTO VIII LTDA
112,02e4a269df69,SERVICENTER AUTO POSTO GRAN PARA LTDA
113,02e7d2db321c,NOVO GUARUJA AUTO POSTO LTDA
114,02f12a1f42fe,POSTO DE GASOLINA TAN TAN LTDA
115,02f2262ae011,SADI DALLACORTE EIRELI
116,02f485b9d319,TIRADENTES POSTO DE GASOLINA E SERVICOS LTDA
117,02f6aa2556ed,AUTO POSTO ATENCIOSO LTDA.
118,030f71cb21ee,AUTO POSTO TAJ MAHAL LTDA.
119,0312e5671cb9,AUTO POSTO VIADUTO LTDA
120,031b75b04975,TORRE COMERCIO DE COMBUSTIVEIS LTDA
121,0330e8be526a,TARGINO E COSTA LTDA
122,033277dded36,POSTO VILA ESTACAO LTDA
123,034b12c864d7,J CARLOS SILVA COMERCIO LTDA
124,034d52105ea2,AUTO POSTO CARRETAO LTDA
125,0352ffb8bcc3,AUTO POSTO VILA PARAISO LTDA
126,03543a958634,AUTO POSTO AGOSTO LTDA
127,03549aac7c20,POSTO DE SERVIÇOS SÃO JOSÉ EM ITAPETININGA LTDA.
128,0355a46fe480,POSTO BEAGAS GNV LTDA.
129,035bf2cf7597,OSVALDINO GOMES DE CARVALHO
130,035c6f381248,POSTO DOM PEDRO I 124 SUL LTDA
131,036430cd9dde,DARIL POSTOS DE SERVICOS LTDA
132,0364d7391cb2,AUTO POSTO JL LTDA
133,036fa77b48d8,AUTO POSTO NOSSA SENHORA DO RETIRO LTDA
134,037194e70ded,POSTO AZEREDO ELGO LTDA
135,0374012a6be3,CENTRO AUTOMOTIVO SAO RAFAEL LTDA
136,0374734cb857,COMERCIO DE COMBUSTIVEIS BUSNELLO LTDA
137,037a31e47e86,SAO BENTO DE ITAIPU AUTO POSTO LTDA
138,037d0c885a99,CARREFOUR COMERCIO E INDUSTRIA LTDA
139,037ed2ea447c,ESPERANCA COMBUSTIVEIS LTDA
140,038bddf1e4df,COMERCIAL DE COMBUSTIVEIS RAMADA LTDA
141,038ed7f8e318,AUTO POSTO SERVICOS NOVA OPCAO LTDA
142,0396ea0c3735,POSTO LEAO DO SUL LTDA
143,03a41c8334c4,AUTO POSTO MELIDE LTDA
144,03a4be381049,J.L. 05 COMBUSTIVEL LTDA
145,03abdfb10c6a,BOQUEIRAO COMERCIO DE COMBUSTIVEIS LTDA
146,03b098b1c312,MOTA & MELLO COMBUSTIVEL LTDA
147,03b0df25f0ab,FORGERINI & INOUYE LTDA
148,03ba38173f32,DANTE CARRARO COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI
149,03ba85f1a37a,POSTO DE COMBUSTIVEIS VILA FERNANDA LTDA
150,03c2aa48d0be,MARIO ROBERTO BRASILEIRA DE PETROLEO LTDA
151,03c555b2b6c8,POSTO SILVA JARDIM LTDA
152,03d36bdb408d,PETRO QUALITY AUTO POSTO LTDA
153,03d656ab4be2,PETROGIL COMERCIO DE COMBUSTIVEIS LTDA
154,03dad9b1d267,B. S. COMBUSTIVEIS E CONVENIENCIA LTDA
155,03db09c29e64,POSTO 5.5. LIMITADA
156,03e6b9c72661,POSTO CARANDA LOCATELLI LTDA
157,03e79e3cb969,BPG AUTO POSTO LTDA
158,03ea09c10b08,AUTO POSTO PORTAL TROPICAL LTDA
159,03eb2d1dd1ed,POSTO VITORIA JUNQUEIRA LTDA
160,03eb3a90b1b4,POSTO MAIS BALSAS LTDA
161,03ecb987a35e,POSTO MAGUARI LTDA
162,03f014b5b722,AUTOPOSTO DE COMBUSTIVEIS MASP BARAO LTDA
163,03f10017e8bc,PORTAL DO SOL COMERCIO E DERIVADOS DE PETROLEO EIRELI
164,03fdd124882b,AUTO POSTO CAPITAL LTDA.
165,04012abab513,POSTO CIDADE DAS ROSAS LTDA
166,0407df40e9c3,POSTO CABO FRIO DE GNV LTDA
167,040833e230fd,PINZON COMERCIO E DERIVADOS DE PETROLEO LTDA
168,0415c0955a50,CARIRI COMBUSTIVEIS LTDA
169,0426b034d0af,AUTO POSTO DO TURISTA LTDA
170,0427aaaa9ed4,POSTO DE GASOLINA AMIGAO DA DUTRA LTDA
171,042a621a24d2,AUTO POSTO CASTELINHO DE AVARE LTDA
172,0438c8c1c85a,MACHADO & FILHOS LTDA
173,043a151d729a,AUTO POSTO JADANI EIRELI
174,043cb6bdc166,POSTO SAO FRANCISCO LTDA
175,043e19f2ec10,AUTO POSTO LISBOA DO LITORAL LTDA
176,043fbef372bf,CENTRAL COMERCIO DE COMBUSTIVEIS LTDA
177,0441b8f84cbf,L S COMERCIO E SERVICOS LTDA
178,044374d41e15,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA
179,0444bcd5d26d,POSTO LONGHI LTDA
180,0448e4336c51,BL COMBUSTIVEIS LTDA
181,045334242bce,MINEIRAO POSTO DE SERVICOS LTDA
182,0453485adab3,CODEPE COMERCIO DE DERIVADOS DE PETROLEO AVILA LTDA
183,04543788de25,AUTO POSTO CIDADE TRES LAGOAS LTDA
184,0454f29face2,AUTO POSTO SAN PIETRO LTDA
185,045ac2f7d544,COMERCIAL DE COMBUSTIVEIS LB LTDA
186,045b7bc0647f,POSTO PERIM LTDA
187,045c9d2e26a3,POSTO JARDIM CANADA LTDA
188,045ef4c9ff27,GRAN CUMBICA AUTO POSTO LTDA
189,04634d2028a3,AUTO POSTO APECATU LTDA
190,046ef4e016b0,MARTINS COMERCIO DE DERIVADOS DE PETROLEO LTDA
191,0482f9bcae18,GIOFAR COMERCIO DE DERIVADOS DE PETROLEO LTDA
192,048ac78982cf,E. DE O. MEIRELES & CIA POSTO NOVA VIDA LTDA
193,048b4d7703fe,POSTO DE GASOLINA DUDA VIEIRA LTDA.
194,0496a07ed97d,SERVICOS AUTOMOTIVOS RODOANEL LTDA
195,049ec936666e,LEANDRINI & DELLA COLLETA LTDA.
196,04a1f04dfbb4,AUTO POSTO IVI LTDA
197,04b682a1502c,AUTO POSTO COLINA LTDA
198,04bb723da234,MARAVILHA COMBUSTIVEIS E LUBRIFICANTES LTDA
199,04bcea190f1b,AUTO POSTO GTX EIRELI
200,04be4cc60925,VITAL E VITAL LTDA
201,04cb714673f6,AUTO POSTO VALE ENCANTADO LTDA.
